doc_id,filename,mime_type
15JLsRUQeDb4h80EZ9QBebnnT1II2vha-,Locus Proposal 2026.pdf,application/pdf
1q9Pa-pnqp5J55CrhsIxJo8S2-fAypRlpKzJmYRQcOd8,Locus Open Source Team (LOST) (Responses),application/vnd.google-apps.spreadsheet
11jzSWzlrmQd37MQI0wWy8R3hnfykuhSLuB2RKt3o4tI,LOCUS X Hukut X GadgetByte Partnership,application/vnd.google-apps.document
1Bx3bwYhU-spr58JpTj-McBTuHKfLdLUCwu2y7MdgZLM,LocusCommitte2026,application/vnd.google-apps.document
16k0_aa8unrQ8ucnNWX7VHmfi3vPn2ankiKilEkF0rXE,stalls-locus2025,application/vnd.google-apps.spreadsheet
1QU7Bw0W9_YJYF3rTTKpBBfhtqM-daQ1L_XeQ9EG0H9M,closing_locus2025_library_request,application/vnd.google-apps.document
1xbfzToKFaR7FrwCDnX6_LUYIowP5EANcyfV96tuAnNk,LOCUS 2025 Confirmed Sponsors,application/vnd.google-apps.document
1Wyv6O2ed2uQwV-0uPM6p9lc_TvmFT0yFZvDlEFdV-lU,Alternative Technology x LOCUS Patternverse 2025 Closing Event,application/vnd.google-apps.document
1OCAytSIbHV4stlZT2_Rdt68KI_LuR0bKNIr9Et-CvC8,LOCUS Research Symposium Event Brief,application/vnd.google-apps.document
1Xcb3VZ3luHQsIn7xhUr0dDUA-6z2sjiiMTImHPr812c,"Outline for LOCUS Research Symposium (February 23, 2025)",application/vnd.google-apps.document
1Hxn_Y_HfZIKF2EdmDe6gJXCJaO0CI-yQHyxNgwevY3A,LOCUS Research Symposium: Paper and Poster Submission (Responses),application/vnd.google-apps.spreadsheet
1j1waNDKPhENIe2gP3kDxRLUtcXwe-u32tZ6bbFi9hDI,LOCUS 2025 Photography Competition (Responses),application/vnd.google-apps.spreadsheet
1P1782mq3EMEQzIt9hZuErp4DYO8l5pGTdLe04wtleEQ,Outline for LOCUS Research Talk Show,application/vnd.google-apps.document
1JJibZs1Gc4GPAq56xVXE_-Ba5rjBpAoSLmEipcYdRyI,LOCUS Research Talk Show Event Brief,application/vnd.google-apps.document
1OsPxJxqYELt_fXWSed5JLkcLb7rBMu3Rg8JZ7ylQXpo,LOCUS Research Talk Show Event Plan,application/vnd.google-apps.document
1Nq0YgCKb0MxYOj8Lb3AXFXF6VUZj8qbJQFIwS3mQoIA,Locus Volunteers,application/vnd.google-apps.spreadsheet
1D_lDdGe54eYK_olDT7aBIJXoHe4KS9lIL-8eZkGTWRc,LOCUSxNDA,application/vnd.google-apps.document
1_qem95ej3OW1T9S7HNsU_L2rz654Q32p,SponsorshipDetailsxLOCUS2025.docx.pdf,application/pdf
1G0jmMyFAKYArrI6FfAocXsLZQ6dNYcl_,Prospectus LOCUS 2025.pdf,application/pdf
1lznmGXgo9qiI9vRyA9GcZDVooQTJH3Mc,Prospectus LOCUS 2025.pdf,application/pdf
1kzsH-rw4ToiaxEVfzUET3OAYwk3tTpBQlMP0UWxt-vo,Walkathon - LOCUS 2025 (Responses),application/vnd.google-apps.spreadsheet
1Ho1_GRhyQva4JrOQ9e1Lkv7QC-9l8nbufOX_DGIJVLg,Call for LOCUS_2025 RoboEvents Coordinator/SubCoordinator (Responses),application/vnd.google-apps.spreadsheet
16xiqDlL66H0CNYOJevztH4jDitvTYCaa,LOCUS2025Prospectus.pdf,application/pdf
1A1qzNnm-yusPzaI-JNBCECR8WEhc5bgu,SponsorshipDetailsxLOCUS2025.pdf,application/pdf
19CoUkyciDosL-24MJ0EC2GFdj68AL43j,SponsorshipDetailsxLOCUS2025.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
1LnyX8N0AfQGHFSP5ctHGNj_gfG7Fd7ZFZlNAnkgVX7o,Call for Locus Designers (Responses),application/vnd.google-apps.spreadsheet
1wxf9AXGgFpNQKyPvr07s5jK4MmZQgWedXy_epXcn-ZE,mou-ihub-locus2025,application/vnd.google-apps.document
1uCrzvS9_K1AaWboiXJVWoysVW9HDRjeAVC2NT5bfkkQ,locus--the--locus,application/vnd.google-apps.spreadsheet
1D8aDpwHErEoANLXZ_IaAh88vKYhWJ1SCYvxLZuKtkzs,LOCUS x NDA First Meeting,application/vnd.google-apps.document
1d3lEtIgIecRISMgq-0P8HlnsuJN4Vh3V,Copy of locus-layout-stalls.pdf,application/pdf
1hYtEGS-KcjF1i_H9H0kcmHCBZQhz5lst,An Overview of LOCUS.pdf,application/pdf
1ZcbmMSqTh9yP_ZBklSzoEhAWAZ936ZPL,An Overview of LOCUS.pdf,application/pdf
1bnFWCezObxT3GO8y89vhaSU9JAuSCX_77NsaxHbod7E,Flashmob LOCUS 2025,application/vnd.google-apps.spreadsheet
16nvUjFmipeD-XBTGtu5tpZPymecniCr2,SponsorshipDetailsxLOCUS2025.pdf,application/pdf
1p6WzLEBqwNBwebz560-MhqvqJ9PJQJEk,Locus Hardware Components Remaining.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
1el1IYs6HFv5bDZY5rIwMrnzUgJjIL5IT,Prospectus LOCUS 2025 (2).pdf,application/pdf
